# created: Fri Mar  1 03:00:01 2024
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
2|4|es-CA|3x3 Ulls
2|2|ru|3x3 глаза
3|2|ru|3х3 глаза: Сказание Сэймы
11606|4|ko|3월의 라이온
12994|4|ko|3월의 라이온 2기
16934|2|ko|3초 후, 야수. ~ 미팅에서 구석에 있던 그는 야릇한 육식동물이었다.
7047|4|ja|3つの雲
12948|4|ja|3ねんDぐみ ガラスの仮面 とびだせ私たちのVR[ヴィクトリーロード]
12366|4|ja|3ねんDぐみガラスの仮面
12416|4|ja|3丁目のタマ うちのタマ知りませんか?
4678|4|ja|3丁目のタマ うちのタマ知りませんか? (1994)
5334|4|ja|3丁目のタマ おねがい! モモちゃんを捜して!!
12366|4|zh-Hans|3年D班玻璃假面
11606|4|ja|3月のライオン
12994|4|ja|3月のライオン (2017)
11395|4|ja|3月のライオン meets BUMP OF CHICKEN
12994|2|ja|3月のライオン 第2シリーズ
11606|4|zh-Hans|3月的狮子
12994|4|zh-Hans|3月的狮子 第二季
11606|4|zh-Hant|3月的獅子
12994|4|zh-Hant|3月的獅子 第二季
16934|4|zh-Hans|3秒后，野兽。～坐在联谊会角落的他是个肉食系
16934|4|ja|3秒後, 野獣. ~合コンで隅にいた彼は淫らな肉食でした
18236|4|en|4 Cut Hero
11217|1|x-jat|4 Eyes
7243|2|en|4-1/2 Tatami Mythological Chronicles
2758|1|x-jat|4-Day Weekend
11217|2|ja|4・Eyes
7243|2|en|4.5 Tatami Mythological Chronicles
11217|2|x-jat|4.eyes
14812|2|en|40th Gundam vs Hello Kitty 45th
6275|2|en|428 the Animation
12585|1|x-jat|44-hiki no Neko
12585|4|ja|44ひきのねこ
17213|1|x-jat|47 Todoufuken
10411|1|x-jat|47 Todoufuken R
17213|4|ja|47都道府犬
10411|4|ja|47都道府犬R
8251|1|x-jat|48x61
8251|4|ja|48x61 四拾八x六拾壱
11217|4|ja|4EYES
17285|3|x-jat|4uso
10539|4|ko|4월은 너의 거짓말
2758|4|ja|4デイ・ウィークエンド
17285|4|zh-Hans|4个人各自有着自己的秘密
17285|4|ja|4人はそれぞれウソをつく
652|2|x-jat|5 Card
4568|2|vi|5 centimét một giây
4568|2|sv|5 centimeter i sekunden
4568|4|nl|5 centimeter per seconde
4568|4|de|5 Centimeters per second
4568|4|en|5 Centimeters per Second
4568|2|lt|5 centimetrai per sekundę
4568|4|fr|5 Centimètres par seconde
4568|2|it|5 centimetri al secondo
4568|2|ro|5 centimetri pe secundă
4568|4|es|5 centímetros por segundo
4568|4|cs|5 centimetrů za sekundu
4568|4|pl|5 centymetrów na sekundę
4568|2|it|5 cm al secondo
4568|2|vi|5 Cm Một Giây
4568|2|pl|5 cm na sekundę
4568|2|en|5 cm per second
4568|4|it|5 cm per second
15848|2|pl|5 sekund się znamy i już się napierdalamy
4568|4|et|5 sentimeetrit sekundis
730|2|x-jat|5 star stories
4568|2|de|5 Zentimeter pro Sekunde
4568|2|el|5 εκατοστά το δευτερόλεπτο
4568|2|bg|5 сантиметра в секунда
4568|2|uk|5 сантиметрів за секунду
4568|2|uk|5 сантиметрів на секунду
4568|4|ru|5 сантиметров в секунду
4568|2|he|5 ס"מ בשנייה
4568|2|ar|5 سنتيمترات في الثانية
4241|3|x-jat|5-2
7120|3|x-jat|5-2 (2009)
